ensembl_gene_id	go_id
1	LOC724736	GO:0030215
2	LOC724736	GO:0005515
3	LOC724736	GO:0030154
4	LOC724736	GO:0016020
5	LOC724736	GO:0007399
6	LOC100576781	
7	LOC100576781	GO:0055114
8	LOC552419	GO:0005525
9	LOC552419	GO:0003924
10	LOC552419	GO:0007264
11	LOC113219132	
12	LOC411477	GO:0005096
13	LOC411477	GO:0046872
14	LOC411477	GO:0043547
15	LOC100578733	GO:0016747
16	LOC100578733	GO:0016020
17	LOC100578733	GO:0016021
18	LOC100578774	GO:0005515
19	LOC102656070	
20	LOC100576147	GO:0006355
21	LOC100576147	GO:0043565
22	LOC100576147	GO:0003700
23	LOC100576147	GO:0005634
24	LOC100576147	GO:0003677
25	LOC552486	GO:0003779
26	LOC552486	GO:0008290
27	LOC552486	GO:0051016
28	LOC552486	GO:0051693
29	LOC102655014	
30	LOC409165	GO:0051082
31	LOC409165	GO:0006457
32	LOC409165	GO:0005509
33	LOC409165	GO:0005788
34	LOC409165	GO:0005783
35	LOC409165	GO:0005515
36	LOC409165	GO:0046872
37	LOC100577342	GO:0003700
38	LOC100577342	GO:0046983
39	LOC100577342	GO:0006355
40	LOC410603	GO:0005549
41	LOC410603	GO:0004984
42	LOC410603	GO:0016020
43	LOC410603	GO:0007608
44	LOC410603	GO:0016021
45	LOC410603	GO:0005886
46	LOC410603	GO:0007165
47	LOC410603	GO:0050896
48	LOC410603	GO:0050911
49	LOC551128	GO:0005524
50	LOC551128	GO:0005737
51	LOC551128	GO:0030163
52	LOC551128	GO:0036402
53	LOC551128	GO:0016787
54	LOC551128	GO:0016887
55	LOC551128	GO:0005634
56	LOC551128	GO:0000166
57	LOC551128	GO:0000502
58	LOC551128	GO:1901800
59	LOC100578586	GO:0016021
60	LOC100578586	GO:0016020
61	LOC100578725	GO:0005737
62	LOC100578725	GO:0043066
63	LOC100578725	GO:0071986
64	LOC100578725	GO:0043154
65	LOC100578725	GO:0005764
66	LOC113218833	
67	LOC100577797	GO:0016021
68	LOC100577797	GO:0016020
69	LOC551871	GO:0016021
70	LOC551871	GO:0055085
71	LOC551871	GO:0016020
72	LOC726900	
73	LOC100576797	
74	LOC100576797	GO:0006629
75	LOC100576797	GO:0055114
76	LOC100576797	GO:0016717
77	LOC100576797	GO:0016020
78	LOC100576797	GO:0016021
79	LOC100576797	GO:0046872
80	LOC100576797	GO:0016491
81	LOC100576797	GO:0006633
82	LOC100576797	GO:0006631
83	LOC100576797	GO:0004768
84	LOC100576797	GO:0006636
85	LOC413755	GO:0005515
86	LOC413755	GO:0016020
87	LOC413755	GO:0016021
88	LOC413755	GO:0005509
89	LOC100578888	GO:0005634
90	LOC100578888	GO:0008270
91	LOC100578888	GO:0046872
92	LOC725251	GO:0005634
93	LOC725251	GO:0008270
94	LOC725251	GO:0046872
95	LOC411589	GO:0005524
96	LOC411589	GO:0005634
97	LOC411589	GO:0003682
98	LOC411589	GO:0006281
99	LOC411589	GO:0007064
100	LOC411589	GO:0008278
101	LOC411589	GO:0005694
102	LOC411589	GO:0051276
103	LOC411589	GO:0005515
104	LOC411589	GO:0016887
105	LOC102655064	
106	LOC100576272	GO:0000213
107	LOC100576272	GO:0000214
108	LOC100576272	GO:0000379
109	LOC100576272	GO:0016829
110	LOC100576272	GO:0003676
111	LOC100576272	GO:0006388
112	LOC100576272	GO:0004518
113	LOC100576272	GO:0006397
114	LOC100576272	GO:0008033
115	LOC100576272	GO:0090305
116	LOC100576272	GO:0090502
117	LOC100576272	GO:0090501
118	LOC100577995	GO:0003682
119	GeneID_107964931	
120	LOC552063	GO:0008270
121	LOC552063	GO:0016020
122	LOC552063	GO:0016021
123	LOC102654492	
124	LOC410878	GO:0003824
125	LOC410878	GO:0016021
126	LOC410878	GO:0016020
127	LOC413573	GO:0046872
128	LOC413573	GO:0048188
129	LOC413573	GO:0051568
130	LOC413573	GO:0005515
131	LOC413573	GO:0005634
132	LOC413573	
133	LOC100578841	
134	LOC726570	
135	LOC551556	
136	LOC551834	GO:0005525
137	LOC551834	GO:0003924
138	LOC551834	GO:0000166
139	LOC102654948	
140	LOC727596	GO:0030246
141	LOC727596	GO:0016020
142	LOC727596	GO:0016021
143	LOC727596	GO:0005783
144	LOC551125	GO:0005840
145	LOC551125	GO:0003735
146	LOC551125	GO:0006412
147	LOC102653881	GO:0055114
148	LOC102653881	GO:0016614
149	LOC102653881	GO:0050660
150	LOC100578508	
151	LOC410402	GO:0004252
152	LOC410402	GO:0006508
153	LOC410402	GO:0016787
154	LOC410402	GO:0008233
155	LOC410402	GO:0008236
156	LOC727205	GO:0000127
157	LOC727205	GO:0006384
158	LOC727205	GO:0005634
159	LOC727205	GO:0003677
160	LOC100576703	
161	LOC100576703	GO:0005525
162	LOC726461	GO:0005515
163	LOC100576864	GO:0007099
164	LOC100576864	GO:1902017
165	LOC413675	GO:0006406
166	LOC413675	GO:0006606
167	LOC413675	GO:0017056
168	LOC413675	GO:0031080
169	LOC413675	GO:0031965
170	LOC413675	GO:0005643
171	LOC413675	GO:0005634
172	LOC413675	GO:0016020
173	LOC413675	GO:0015031
174	LOC413675	GO:0051028
175	LOC113219195	
176	LOC725679	GO:0003676
177	LOC725679	GO:0003723
178	LOC725679	GO:1990904
179	LOC113218895	GO:0006450
180	LOC552642	GO:0005524
181	LOC552642	GO:0003677
182	LOC552642	GO:0042555
183	LOC552642	GO:0006270
184	LOC552642	GO:0003678
185	LOC552642	GO:0032508
186	LOC552642	GO:0000166
187	LOC552642	GO:0016787
188	LOC552642	GO:0016887
189	GeneID_406112	GO:0006355
190	GeneID_406112	GO:0005634
191	LOC113219120	
192	LOC410538	GO:0016021
193	LOC410538	GO:0000030
194	LOC410538	GO:0016020
195	LOC410538	GO:0097502
196	LOC410538	
197	LOC102656919	
198	LOC412361	GO:0008289
199	LOC100576257	
200	LOC100578811	GO:0016020
201	LOC100578811	GO:0016021
202	LOC100576863	
203	LOC552081	GO:0005509
204	LOC552081	GO:0006851
205	LOC552081	GO:0016020
206	LOC552081	GO:0016021
207	LOC552603	
208	LOC100576387	
209	LOC409124	
210	LOC409124	GO:0005576
211	LOC100576746	GO:0016021
