ensembl_gene_id	go_id
1	FBgn0015380	GO:0004672
2	FBgn0015380	GO:0005524
3	FBgn0015380	GO:0016021
4	FBgn0015380	GO:0006468
5	FBgn0015380	GO:0016020
6	FBgn0015380	GO:0043235
7	FBgn0015380	GO:0016204
8	FBgn0015380	GO:0061643
9	FBgn0015380	GO:0007613
10	FBgn0015380	GO:0030425
11	FBgn0015380	GO:0007169
12	FBgn0015380	GO:0007435
13	FBgn0015380	GO:0007275
14	FBgn0015380	GO:0007409
15	FBgn0015380	GO:0198738
16	FBgn0015380	GO:0007411
17	FBgn0015380	GO:0016199
18	FBgn0015380	GO:0005887
19	FBgn0015380	GO:0016203
20	FBgn0015380	GO:0018108
21	FBgn0015380	GO:0070983
22	FBgn0015380	GO:0007611
23	FBgn0015380	GO:0007399
24	FBgn0015380	GO:0016319
25	FBgn0015380	GO:0019901
26	FBgn0015380	GO:0008355
27	FBgn0015380	GO:0030424
28	FBgn0015380	GO:0046982
29	FBgn0015380	GO:0017147
30	FBgn0015380	GO:0042803
31	FBgn0015380	GO:0033674
32	FBgn0015380	GO:0007165
33	FBgn0015380	GO:0007482
34	FBgn0015380	GO:0007416
35	FBgn0015380	GO:0042813
36	FBgn0015380	GO:0000166
37	FBgn0015380	GO:0016301
38	FBgn0015380	GO:0016740
39	FBgn0015380	GO:0016310
40	FBgn0015380	GO:0005886
41	FBgn0015380	GO:0016055
42	FBgn0010356	GO:0045944
43	FBgn0010356	GO:0000790
44	FBgn0010356	GO:0003713
45	FBgn0010356	GO:0005669
46	FBgn0010356	GO:0006367
47	FBgn0010356	GO:0005634
48	FBgn0010356	GO:1990841
49	FBgn0010356	GO:0043966
50	FBgn0010356	GO:0005515
51	FBgn0010356	GO:0006355
52	FBgn0010356	GO:0016251
53	FBgn0266023	
54	FBgn0250732	GO:0005737
55	FBgn0250732	GO:0043295
56	FBgn0250732	GO:0003676
57	FBgn0250732	GO:0004364
58	FBgn0250732	GO:0006749
59	FBgn0250732	GO:0005515
60	FBgn0250732	GO:0016740
61	FBgn0034710	GO:0004035
62	FBgn0034710	GO:0009986
63	FBgn0034710	GO:0016311
64	FBgn0034710	GO:0003824
65	FBgn0034710	GO:0016791
66	FBgn0034710	GO:0016787
67	FBgn0033672	GO:0016021
68	FBgn0033672	GO:0005743
69	FBgn0033672	GO:0004252
70	FBgn0033672	GO:0010821
71	FBgn0033672	GO:0005739
72	FBgn0033672	GO:0016485
73	FBgn0033672	GO:0004175
74	FBgn0033672	GO:0008053
75	FBgn0033672	GO:0016020
76	FBgn0033672	GO:0016787
77	FBgn0033672	GO:0005515
78	FBgn0266027	
79	FBgn0263488	
80	FBgn0264879	
81	FBgn0263049	
82	FBgn0264618	
83	FBgn0261786	GO:0008284
84	FBgn0261786	GO:1990756
85	FBgn0261786	GO:1905761
86	FBgn0261786	GO:0007113
87	FBgn0261786	GO:0045931
88	FBgn0261786	GO:0031146
89	FBgn0261786	GO:0007300
90	FBgn0261786	GO:0016567
91	FBgn0034138	GO:0005737
