ensembl_gene_id	go_id
1	LOC105620208	GO:0016020
2	LOC105620208	GO:0055085
3	LOC105620208	GO:0046873
4	LOC105620208	GO:0030001
5	LOC105620208	GO:0016021
6	LOC105621890	GO:0046872
7	LOC105621890	GO:0005634
8	LOC105621890	GO:0071557
9	LOC105621890	GO:0071558
10	LOC105627010	GO:0016021
11	LOC105627010	GO:0016020
12	LOC105624150	
13	LOC105621871	GO:0003723
14	LOC105621871	GO:0006396
15	LOC105621871	GO:0003676
16	LOC105621871	GO:0006402
17	LOC105621871	GO:0004654
18	LOC105621871	GO:0016740
19	LOC105621871	GO:0016779
20	LOC105621871	GO:0005737
21	LOC105617409	
22	LOC105622415	
23	LOC105623708	GO:0005622
24	LOC105623708	GO:0005524
25	LOC105623708	GO:0004674
26	LOC105623708	GO:0004672
27	LOC105623708	GO:0035329
28	LOC105623708	GO:0000278
29	LOC105623708	GO:0000166
30	LOC105623708	GO:0006468
31	LOC105623708	GO:0005515
32	LOC105620838	
33	LOC105626401	GO:0007186
34	LOC105626401	GO:0004930
35	LOC105626401	GO:0016021
36	LOC105626401	GO:0016020
37	LOC105626401	GO:0007165
38	LOC105627604	GO:0006744
39	LOC105627604	GO:0045333
40	LOC105627604	GO:0048039
41	LOC105625409	GO:0007269
42	LOC105625409	GO:0008021
43	LOC105626902	
44	LOC105619016	GO:0008168
45	LOC105619016	GO:0005730
46	LOC105619016	GO:0016740
47	LOC105619016	GO:0005634
48	LOC105619016	GO:0032259
49	LOC105619016	GO:0006364
50	LOC105620249	GO:0005739
51	LOC105620249	GO:0006260
52	LOC105620249	GO:0006281
53	LOC105625811	
54	LOC105627512	GO:0005739
55	LOC105627512	GO:0008483
56	LOC105627512	GO:0004047
57	LOC105627512	GO:0006546
58	LOC105627512	GO:0016740
59	LOC105627512	GO:0005515
60	LOC105621087	GO:0046912
61	LOC105621087	GO:0006099
62	LOC105621087	GO:0004108
63	LOC105621087	GO:0006101
64	LOC105621087	GO:0016740
65	LOC105621087	GO:0005759
66	LOC105617102	
67	LOC105617611	GO:0005730
68	LOC105617611	GO:0005515
69	LOC105621698	GO:0016020
70	LOC105621698	GO:0005886
71	LOC105621698	GO:0004984
72	LOC105621698	GO:0005549
73	LOC105621698	GO:0016021
74	LOC105621698	GO:0007165
75	LOC105621698	GO:0007608
76	LOC105621698	GO:0050896
77	LOC105621698	GO:0050911
78	LOC105618024	GO:0007186
79	LOC105618024	GO:0004930
80	LOC105618024	GO:0016021
81	LOC105618024	GO:0016020
82	LOC105618024	GO:0007165
83	LOC105619881	GO:0005634
84	LOC105619881	GO:0006397
85	LOC105619881	GO:0031123
86	LOC105621880	GO:0005515
87	LOC105620174	GO:0006464
88	LOC105620174	GO:0015031
89	LOC105620174	GO:0005768
90	LOC105620174	GO:0110165
91	LOC105624163	
92	LOC105626900	GO:0008017
93	LOC105626900	GO:0005813
94	LOC105620875	GO:0003735
95	LOC105620875	GO:0006412
96	LOC105620875	GO:0005840
97	LOC105623253	GO:0016020
98	LOC105623253	GO:0004984
99	LOC105623253	GO:0005549
100	LOC105623253	GO:0016021
101	LOC105623253	GO:0007608
102	LOC105623253	GO:0050911
103	LOC105620764	GO:0016021
104	LOC105620764	GO:0016020
105	LOC105618633	
106	LOC105621193	GO:0005515
107	LOC105622526	GO:0004735
108	LOC105622526	GO:0055129
109	LOC105622526	GO:0016491
110	LOC105622526	GO:0008652
111	LOC105622526	GO:0006561
112	LOC105626268	GO:0006325
113	LOC105626268	GO:0005515
114	LOC105618360	GO:0046872
115	LOC105618360	GO:0005634
116	LOC105627419	GO:0031929
117	LOC105627419	GO:0031931
118	LOC105627419	GO:0031932
119	LOC105627419	GO:0032008
120	LOC105627419	GO:0050896
121	LOC105627419	GO:0005515
122	LOC105617206	
123	LOC105625073	GO:0006508
124	LOC105625073	GO:0004252
125	LOC105623622	
126	LOC105623104	
127	LOC105624666	GO:0008270
128	LOC105624666	GO:0003676
129	LOC105624666	GO:0005634
130	LOC105623811	GO:0006383
131	LOC105623811	GO:0017025
132	LOC105623811	GO:0000126
133	LOC105623811	GO:0001026
134	LOC105623811	GO:0070897
135	LOC105623811	GO:0006352
136	LOC105623811	GO:0000995
137	LOC105625352	
138	LOC105620862	
139	LOC105619482	GO:0005737
140	LOC105619482	GO:0006629
141	LOC105619482	GO:0006631
142	LOC105619482	GO:0006633
143	LOC105619482	GO:0050790
144	LOC105619482	GO:0005515
145	LOC105624232	
146	LOC105618176	GO:0003723
147	LOC105618176	GO:0006396
148	LOC105618176	GO:0004525
149	LOC105618176	GO:0031047
150	LOC105618176	GO:0030422
151	LOC105618176	GO:0000166
152	LOC105618176	GO:0005524
153	LOC105618176	GO:0090305
154	LOC105618176	GO:0090501
155	LOC105618176	GO:0090502
156	LOC105618176	GO:0003676
157	LOC105618176	GO:0004386
158	LOC105618176	GO:0004518
159	LOC105618176	GO:0016891
160	LOC105618176	GO:0004519
161	LOC105618176	GO:0005515
162	LOC105618176	GO:0031054
163	LOC105621233	GO:0003677
164	LOC105621233	GO:0006352
165	LOC105621233	GO:0005634
166	LOC105623569	GO:0034464
167	LOC105623569	GO:0060271
168	LOC105617928	GO:0017040
169	LOC105617928	GO:0016787
170	LOC105617928	GO:0006629
171	LOC105617928	GO:0006665
172	LOC105617928	GO:0046514
173	LOC105617928	GO:0102121
174	LOC105617928	GO:0006672
175	LOC105620999	GO:0016021
176	LOC105620999	GO:0016020
177	LOC105620999	GO:0005739
178	LOC105620999	GO:0006811
179	LOC105620999	GO:0005262
180	LOC105620999	GO:0070588
181	LOC105620999	GO:0006816
182	LOC105620999	GO:0005743
183	LOC105620999	GO:0051560
184	LOC105620999	GO:0015292
185	LOC105619517	GO:0006367
186	LOC105619517	GO:0005669
187	LOC105619517	GO:0005634
188	LOC105622059	GO:0003723
189	LOC105622059	GO:0046872
190	LOC105622059	GO:0003676
191	LOC105622059	GO:0004842
192	LOC105622059	GO:0030014
193	LOC105622059	GO:0016567
194	LOC105627590	
195	LOC105625302	
196	LOC105618791	GO:0046982
197	LOC105618791	GO:0005634
198	LOC105618791	GO:0003677
199	LOC105618791	GO:0006352
200	LOC105618791	GO:0006334
201	LOC105618791	GO:0000786
202	LOC105618791	GO:0005694
203	LOC105618791	GO:0030527
204	LOC105620789	GO:0005737
205	LOC105620789	GO:0004725
206	LOC105620789	GO:0016791
207	LOC105620789	GO:0016787
208	LOC105620789	GO:0004721
209	LOC105620789	GO:0006470
210	LOC105620789	GO:0016311
211	LOC105620789	GO:0048666
212	LOC105620789	GO:0009653
213	LOC105620789	GO:0040011
214	LOC105620789	GO:0016043
215	LOC105620789	GO:0042221
216	LOC105626944	GO:0042254
217	LOC105626944	GO:1990904
218	LOC105626944	GO:0005840
219	LOC105626944	GO:0003723
220	LOC105626944	GO:0022625
221	LOC105619762	GO:0006096
222	LOC105619762	GO:0003824
223	LOC105619762	GO:0016868
224	LOC105619762	GO:0004619
225	LOC105619762	GO:0004082
226	LOC105619762	GO:0016853
227	LOC105621024	
228	LOC105624288	GO:0003723
229	LOC105624288	GO:0003676
230	LOC105624288	GO:0051028
231	LOC105620343	GO:0006396
232	LOC105620343	GO:0000387
233	LOC105620343	GO:0005681
234	LOC105620343	GO:0005634
235	LOC105620343	GO:0006397
236	LOC105620343	GO:0008380
237	LOC105620343	GO:0005829
238	LOC105620720	GO:0042147
239	LOC105620720	GO:0032456
240	LOC105620720	GO:0005829
241	LOC105620720	GO:1990745
242	LOC105620746	GO:0008531
243	LOC105620746	GO:0009231
244	LOC105620746	GO:0000166
245	LOC105620746	GO:0005524
246	LOC105620746	GO:0016740
247	LOC105620746	GO:0009398
248	LOC105623348	GO:0042254
249	LOC105623348	GO:0005730
250	LOC105623348	GO:0005654
