ensembl_gene_id	go_id
1	LOC122860916	GO:0008270
2	LOC122847958	
3	GeneID_122850784	
4	LOC122858564	GO:0005524
5	LOC122858564	GO:0006468
6	LOC122858564	GO:0004672
7	LOC122858564	GO:0000165
8	LOC122858564	GO:0000166
9	LOC122854022	
10	LOC122848924	GO:0050660
11	LOC122848924	GO:0016627
12	LOC122848924	GO:0003995
13	LOC122848924	GO:0016491
14	LOC122849559	GO:0016301
15	LOC122849559	GO:0003951
16	LOC122849559	GO:0046872
17	LOC122849559	GO:0017050
18	LOC122858968	GO:0006886
19	LOC122858968	GO:0016192
20	LOC122858968	GO:0030117
21	LOC122858968	GO:0015031
22	LOC122858968	GO:0030131
23	LOC122858968	GO:0030276
24	LOC122858968	GO:0016020
25	LOC122858968	GO:0005737
26	LOC122853245	GO:0005576
27	LOC122853245	GO:0005515
28	LOC122853245	GO:0005975
29	LOC122853245	GO:0003824
30	LOC122853245	GO:0016810
31	LOC122853245	GO:0008061
32	LOC122853245	GO:0071704
33	LOC122854589	
34	LOC122854426	GO:0005515
35	LOC122851197	GO:0006355
36	LOC122851197	GO:0003723
37	LOC122851197	GO:0003676
38	LOC122851197	GO:0110165
39	LOC122851197	GO:0005634
40	LOC122849503	
41	LOC122859922	GO:0009263
42	LOC122860347	GO:0006807
43	LOC122860347	GO:0016811
44	LOC122860347	GO:0016787
45	LOC122860347	GO:0005634
46	LOC122854816	
47	LOC122858957	
48	LOC122859792	GO:0005509
49	LOC122859792	GO:0005544
50	LOC122851088	
51	LOC122850031	GO:0006366
52	LOC122850031	GO:0046982
53	LOC122850031	GO:0005634
54	LOC122856168	
55	LOC122860312	GO:0005525
56	LOC122860312	GO:0003924
57	LOC122860312	GO:0000166
58	LOC122858015	GO:0016021
59	LOC122858015	GO:0016020
60	LOC122860735	GO:0005737
61	LOC122860735	GO:0005856
62	LOC122849056	GO:0005515
63	LOC122849056	GO:0046872
64	LOC122849056	GO:0043229
65	LOC122848944	GO:0003677
66	LOC122848944	GO:0008270
67	LOC122848944	GO:0005634
68	LOC122848944	GO:0051287
69	LOC122848944	GO:0003950
70	LOC122848944	GO:0006471
71	LOC122848944	GO:0046872
72	LOC122848944	GO:0016740
73	LOC122848944	GO:0016757
74	LOC122852535	GO:0006281
75	LOC122852535	GO:0003678
76	LOC122852535	GO:0000723
77	LOC122850010	GO:0016020
78	LOC122850010	GO:0016021
79	LOC122850010	
80	LOC122857216	GO:0003729
81	LOC122857216	GO:0000245
82	LOC122857216	GO:0005634
83	LOC122857216	GO:0005681
84	LOC122857216	GO:0000226
85	LOC122856894	
86	LOC122855202	GO:0005515
87	LOC122855202	GO:0006364
88	LOC122855202	GO:0032040
89	LOC122850988	GO:0003723
90	LOC122850988	GO:0003676
91	LOC122848815	
92	LOC122854550	
93	LOC122850561	
94	LOC122852688	GO:0005524
95	LOC122852688	GO:0016887
96	LOC122852688	GO:0004017
97	LOC122852688	GO:0000166
98	LOC122852688	GO:0016301
99	LOC122852688	GO:0016740
100	LOC122852688	GO:0016310
101	LOC122852688	GO:0005634
102	LOC122852688	GO:0046940
103	LOC122857877	GO:0003677
104	LOC122859804	GO:0005515
105	LOC122850312	GO:0005525
106	LOC122850312	GO:0003924
107	LOC122850312	GO:0007264
108	LOC122850312	GO:0030707
109	LOC122850312	GO:0035006
110	LOC122850312	GO:0035099
111	LOC122852496	GO:0016717
112	LOC122852496	GO:0016020
113	LOC122852496	GO:0016021
114	LOC122852496	GO:0016491
115	LOC122852496	GO:0006631
116	LOC122852496	GO:0006633
117	LOC122855714	GO:0005789
118	LOC122855714	GO:0006888
119	LOC122855714	GO:0016020
120	LOC122855714	GO:0016021
121	LOC122855714	GO:0005783
122	LOC122855714	GO:0005794
123	LOC122855714	GO:0000139
124	LOC122855714	GO:0015031
125	LOC122855714	GO:0005793
126	LOC122856775	GO:0005634
127	LOC122856775	GO:0005515
128	LOC122856775	GO:0016020
129	LOC122856775	GO:0016021
130	LOC122856775	GO:0005730
131	LOC122853013	GO:0005524
132	LOC122853013	GO:0005515
133	LOC122853013	GO:0006468
134	LOC122853013	GO:0004672
135	LOC122853013	GO:0000166
136	LOC122853013	GO:0016301
137	LOC122853013	GO:0016310
138	LOC122853013	GO:0004674
139	LOC122857961	GO:0005198
140	LOC122857961	GO:0042302
141	LOC122851269	
142	LOC122851843	
143	LOC122852777	GO:0005524
144	LOC122852777	GO:0005515
145	LOC122852777	GO:0006468
146	LOC122852777	GO:0004672
147	LOC122852777	GO:0003774
148	LOC122852777	GO:0016459
149	LOC122852777	GO:0004713
150	LOC122852777	GO:0000166
151	LOC122852777	GO:0050896
152	LOC122852777	GO:0005737
153	LOC122852777	GO:0003779
154	LOC122852777	GO:0005856
155	LOC122852777	GO:0018108
156	LOC122852777	GO:0007601
157	LOC122858239	GO:0070273
158	LOC122858239	GO:0016020
159	LOC122858239	GO:0005794
160	LOC122850085	GO:0016788
161	LOC122850085	GO:0016020
162	LOC122850085	GO:0016021
163	LOC122850085	GO:0016787
164	LOC122850085	GO:0005783
165	LOC122850085	GO:0005789
166	LOC122850085	GO:0015031
167	LOC122849338	
168	LOC122860509	
169	LOC122850846	GO:0050660
170	LOC122850846	GO:0016491
171	LOC122850846	GO:0046983
172	LOC122850846	GO:0005739
173	LOC122850846	GO:0006915
174	LOC122850846	
175	LOC122860138	GO:0005515
176	LOC122850364	GO:0005524
177	LOC122850364	GO:0003723
178	LOC122850364	GO:0016020
179	LOC122850364	GO:0003676
180	LOC122850364	GO:0140359
181	LOC122858830	
182	LOC122854341	GO:0005515
183	LOC122854341	GO:0016020
184	LOC122854341	GO:0016021
185	LOC122854341	GO:0022857
186	LOC122854341	GO:0055085
187	LOC122853752	GO:0016021
188	LOC122853752	GO:0006811
189	LOC122853752	GO:0005216
190	LOC122853752	GO:0004888
191	LOC122853752	GO:0034220
192	LOC122853752	GO:0005230
193	LOC122853752	GO:0016020
194	LOC122856446	GO:0016020
195	LOC122856446	GO:0016021
196	LOC122859675	
197	LOC122847810	GO:0016021
198	LOC122847810	GO:0007186
199	LOC122847810	GO:0004930
200	LOC122847810	GO:0016020
201	LOC122847810	GO:0007165
202	LOC122847473	GO:0005515
203	LOC122847473	GO:0003746
204	LOC122847473	GO:0006414
205	LOC122847473	GO:0005739
206	LOC122847473	GO:0110165
207	LOC122847473	GO:0006412
208	LOC122852468	GO:0003824
209	LOC122852468	GO:0016787
210	GeneID_122856103	
211	LOC122860897	GO:0003677
212	LOC122860897	GO:0006355
213	LOC122860897	GO:0005634
214	LOC122860897	GO:0003700
215	LOC122860897	GO:0006357
216	LOC122854257	GO:0005634
217	LOC122854257	GO:0005730
218	LOC122848509	GO:0006644
219	LOC122848509	GO:0004623
220	LOC122848509	GO:0050482
221	LOC122848509	GO:0005576
222	LOC122854882	GO:0005515
223	LOC122854882	GO:0004842
224	LOC122854882	GO:0046872
225	LOC122854882	GO:0016567
226	GeneID_122853631	
227	LOC122858259	GO:0003735
228	LOC122858259	GO:0006412
229	LOC122858259	GO:0005840
230	LOC122858259	GO:0003723
231	LOC122858337	GO:0004348
232	LOC122858337	GO:0006665
233	LOC122858337	GO:0016787
234	LOC122858337	GO:0008152
235	LOC122858337	GO:0006629
236	LOC122858337	GO:0016798
237	LOC122856854	GO:0008446
238	LOC122856854	GO:0019673
239	LOC122856854	GO:0042350
240	LOC122856854	GO:0042351
241	LOC122852608	GO:0008270
242	LOC122852608	GO:0006508
243	LOC122852608	GO:0004222
244	LOC122852608	GO:0008237
245	LOC122852608	GO:0046872
246	LOC122852608	GO:0016787
247	LOC122852608	GO:0008233
248	LOC122859136	GO:0003677
249	LOC122859136	GO:0006355
250	LOC122859136	GO:0003700
251	LOC122848926	GO:0046872
252	LOC122848926	GO:0016491
253	LOC122848926	GO:0005634
254	LOC122848926	GO:0016706
255	LOC122848926	GO:0051213
256	LOC122848926	GO:0005506
257	LOC122847502	GO:0005515
258	GeneID_122859975	
259	LOC122856674	GO:0003824
260	LOC122856674	GO:0008484
261	LOC122856674	GO:0016787
262	LOC122852582	GO:0005515
263	LOC122859746	
264	LOC122851127	GO:0016462
265	LOC122851409	GO:0005975
266	LOC122851409	GO:0004553
267	LOC122851409	GO:0030246
268	LOC122851409	GO:0016020
269	LOC122851409	GO:0016021
270	LOC122851409	GO:0002376
271	LOC122851409	GO:0045087
272	LOC122847547	GO:0016020
273	LOC122847547	GO:0016021
274	LOC122856972	
275	LOC122854447	
