ensembl_gene_id	go_id
1	LOC103308367	GO:0046983
2	LOC115033878	
3	LOC115034808	
4	LOC115034808	GO:0046872
5	LOC100162111	
6	LOC115034831	GO:0016020
7	LOC115034831	GO:0016021
8	LOC115034831	GO:0046983
9	LOC115034831	GO:0008270
10	LOC115034831	GO:0003676
11	LOC103310225	GO:0005515
12	GeneID_100168846aa20	GO:0008080
13	LOC100159865	GO:0005874
14	LOC100159865	GO:0005737
15	LOC100159865	GO:0000922
16	LOC100159865	GO:0005813
17	LOC100159865	GO:0008017
18	LOC100159865	GO:0005524
19	LOC100159865	GO:0007049
20	LOC100159865	GO:0051301
21	LOC100159865	GO:0016853
22	LOC100159865	GO:0008568
23	LOC100159865	GO:0016887
24	LOC100159865	GO:0051013
25	LOC100159865	GO:0000166
26	LOC100159865	GO:0005856
27	LOC100159865	GO:0005819
28	LOC100159865	GO:0005815
29	LOC100573544	GO:0004252
30	LOC100573544	GO:0008236
31	LOC100573544	GO:0006508
32	LOC100573544	GO:0016787
33	LOC100573297	
34	LOC100163566	
35	LOC115034129	GO:0046872
36	LOC115034129	GO:0071897
37	LOC115034662	GO:0046983
38	LOC100167749	
39	GeneID_100163039	GO:0051301
40	GeneID_100163039	GO:0005634
41	GeneID_100163039	GO:0007094
42	LOC100573451	
43	GeneID_7055876	GO:0005743
44	GeneID_7055876	GO:0005507
45	GeneID_7055876	GO:0016021
46	GeneID_7055876	GO:0070469
47	GeneID_7055876	GO:0004129
48	GeneID_7055876	GO:0022900
49	GeneID_7055876	GO:0016491
50	GeneID_7055876	GO:0016020
51	GeneID_7055876	GO:0005739
52	GeneID_7055876	GO:0046872
53	GeneID_7055876	GO:1902600
54	LOC100168517	GO:0005634
55	LOC100168517	GO:0003677
56	LOC100168517	GO:0000166
57	LOC100168517	GO:0003887
58	LOC100168517	GO:0046872
59	LOC100168517	GO:0051539
60	LOC100168517	GO:0006260
61	LOC100168517	GO:0016035
62	LOC100168517	GO:0019985
63	LOC100168517	GO:0006281
64	LOC100168517	GO:0003676
65	LOC100168517	GO:0016740
66	LOC100168517	GO:0051536
67	LOC100168517	GO:0016779
68	LOC100168517	GO:0006974
69	LOC100168517	GO:0042575
70	LOC103308886	GO:0046983
71	LOC103308886	GO:0008168
72	LOC103308886	GO:0016740
73	LOC103308886	GO:0005634
74	LOC103308886	GO:0003677
75	LOC103308886	GO:0032259
76	LOC103308886	GO:0043229
77	LOC103308886	GO:0003682
78	LOC103308886	GO:0004803
79	LOC103308886	GO:0006313
80	LOC103308886	GO:0003886
81	LOC103308886	GO:0090116
82	LOC100169130	GO:0008270
83	LOC100169130	GO:0061630
84	LOC100169130	GO:0004842
85	LOC100169130	GO:0006511
86	LOC100169130	GO:0016020
87	LOC100169130	GO:0016021
88	LOC100169130	GO:0005634
89	LOC100169130	GO:0016567
90	LOC100169130	GO:0006974
91	LOC100169130	GO:0005654
92	LOC100169130	GO:0006281
93	LOC100169130	GO:0009966
94	LOC100159090	GO:0005515
95	LOC100159090	GO:0016567
96	LOC100159090	GO:0003779
97	LOC100162422	GO:0005681
98	LOC100162422	GO:0000387
99	LOC100162422	GO:0000398
100	LOC100162422	GO:0005634
101	LOC100162422	GO:0003723
102	LOC100162422	GO:0006397
103	LOC100162422	GO:0008380
104	LOC100162422	GO:0043231
105	LOC100162422	GO:0120114
106	LOC100162601	GO:0006811
107	LOC100162601	GO:0055085
108	LOC100162601	GO:0016020
109	LOC100162601	GO:0005216
110	LOC100162601	GO:0016021
111	LOC100162601	GO:0034220
112	LOC100162601	
113	LOC100572657	GO:0003824
114	LOC107882973	GO:0005515
115	GeneID_100167316	
116	LOC103309452	
117	LOC100165818	GO:0005515
118	LOC100165818	GO:0051171
119	LOC100165818	GO:0060255
120	LOC100165818	GO:0080090
121	GeneID_100144790	GO:0050790
122	GeneID_100144790	GO:0004197
123	GeneID_100144790	GO:0008234
124	GeneID_100144790	GO:0006508
125	LOC100169556	GO:0003735
126	LOC100169556	GO:0006412
127	LOC100169556	GO:0005840
128	LOC100166585	GO:0016021
129	LOC100166585	GO:0050660
130	LOC100166585	GO:0016614
131	LOC100166585	GO:0016020
132	LOC100169281	GO:0005515
133	LOC103310646	
134	LOC100165974	GO:0003677
135	LOC100574260	GO:0005634
136	LOC100574260	GO:0046872
137	LOC100574260	GO:0000070
138	LOC100574260	GO:0007062
139	LOC100574260	GO:0016407
140	LOC100574260	GO:0045132
141	LOC100574260	GO:0016740
142	LOC100574260	GO:0016746
143	LOC100574260	GO:0007049
144	LOC100166113	GO:0003677
145	LOC100166113	GO:0044237
146	LOC100166113	GO:0005737
147	LOC100166113	GO:0003743
148	LOC100166113	GO:0006412
149	LOC100166113	GO:0006413
150	LOC103311588	GO:0003676
151	LOC103311588	GO:0015074
152	LOC103311588	GO:0042575
153	LOC103311588	GO:0003887
154	LOC103311588	GO:0071897
155	LOC103311173	GO:0005524
156	LOC103311173	GO:0000166
157	LOC103311173	GO:0016829
158	LOC103311173	GO:0009089
159	LOC103311173	GO:0008700
160	LOC103311173	GO:0008839
161	LOC100166997	GO:0005515
162	LOC115033320	
163	LOC103311673	GO:0046983
164	LOC103311673	GO:0016787
165	LOC103311673	GO:0006281
166	LOC103311673	GO:0000166
167	LOC103311673	GO:0004386
168	LOC103311673	GO:0005524
169	LOC103311673	GO:0016887
170	LOC103311673	GO:0006974
171	LOC103311673	GO:0003678
172	LOC103311673	GO:0032508
173	LOC103311673	GO:0006310
174	LOC103311673	GO:0000723
175	LOC103311866	GO:0071897
176	LOC100568831	GO:0016020
177	LOC100568831	GO:0016021
178	LOC100161364	GO:0005737
179	LOC100161364	GO:0005634
180	LOC100161364	GO:0000502
181	LOC100573673	GO:0016020
182	LOC100573673	GO:0016021
183	LOC100573673	GO:0003676
184	LOC100573880	GO:0016021
185	LOC100573880	GO:0055085
186	LOC100573880	GO:0016020
187	LOC100573880	GO:0008271
188	LOC100573880	GO:0008272
189	LOC100573880	GO:0015116
190	LOC100573880	GO:1902358
191	LOC100167953	GO:0005524
192	LOC100167953	GO:0005515
193	LOC100167953	GO:0000166
194	LOC100570860	
195	LOC100568468	GO:0016491
196	LOC100568468	GO:0046872
197	LOC115033221	GO:0008270
198	LOC115033221	GO:0003676
199	LOC115033221	GO:0015074
200	LOC115033221	GO:0042575
201	LOC115033221	GO:0003887
202	LOC115033221	GO:0071897
203	LOC100162262	GO:0016021
204	LOC100162262	GO:0016020
205	LOC100162262	GO:0003676
206	LOC100162262	GO:0015074
207	LOC100162262	GO:0042575
208	LOC100162262	GO:0003887
209	LOC100162262	GO:0071897
210	LOC103308887	GO:0003676
211	LOC103308887	GO:0003723
212	LOC100164501	GO:0016021
213	LOC100164501	GO:0008201
214	LOC100164501	GO:0046914
215	LOC100164501	GO:0016020
216	LOC103310082	GO:0003676
217	LOC103310082	GO:0015074
218	LOC103310082	GO:0016740
219	LOC103310082	GO:0006508
220	LOC103310082	GO:0016779
221	LOC103310082	GO:0004190
222	LOC103310082	GO:0003964
223	LOC103310082	GO:0006278
224	LOC103310082	GO:0042575
225	LOC103310082	GO:0003887
226	LOC103310082	GO:0071897
227	LOC107884317	GO:0016020
228	LOC107884317	GO:0016021
229	LOC100573019	
230	LOC100163333	GO:0005634
231	LOC100163333	GO:0005819
232	LOC100163333	GO:0006281
233	LOC100163333	GO:0016226
234	LOC100163333	GO:0097361
235	LOC100163333	GO:0097428
236	LOC100163333	GO:0005737
237	LOC100163333	GO:0005856
238	LOC100163333	GO:0006974
239	LOC100159580	GO:0016021
