ensembl_gene_id	go_id
1	LOC100743975	GO:0004970
2	LOC100743975	GO:0005886
3	LOC100743975	GO:0016021
4	LOC100743975	GO:0006811
5	LOC100743975	GO:0016020
6	LOC100743975	GO:0005216
7	LOC100743975	GO:0015276
8	LOC100743975	GO:0038023
9	LOC100743975	GO:0034220
10	LOC100743975	GO:0035235
11	LOC112212674	
12	LOC100743018	GO:0016021
13	LOC100743018	GO:0016020
14	LOC105680785	GO:0008168
15	LOC105680785	GO:0032259
16	LOC105680785	GO:0016740
17	LOC100749534	
18	LOC100742836	GO:0005576
19	LOC100742836	GO:0005102
20	LOC100742836	GO:0007275
21	LOC100742836	GO:0016055
22	LOC100742836	GO:0007165
23	LOC100742836	GO:0048699
24	LOC100742836	GO:0007267
25	LOC112212753	
26	LOC105682037	
27	LOC100740157	GO:0000398
28	LOC100745424	GO:0004252
29	LOC100745424	GO:0006508
30	LOC100745424	GO:0008233
31	LOC100745424	GO:0008236
32	LOC100745424	GO:0016787
33	LOC100741846	GO:0005576
34	LOC100741846	GO:0005515
35	LOC100741846	GO:0016043
36	LOC100741846	GO:0048513
37	LOC100741846	GO:0000904
38	LOC105680897	GO:0003723
39	LOC105680897	GO:0004521
40	LOC105680897	GO:0046872
41	LOC105680897	GO:0016787
42	LOC105680897	GO:0004519
43	LOC105680897	GO:0090305
44	LOC105680897	GO:0004518
45	LOC105680897	GO:0090502
46	LOC105680897	GO:0016021
47	LOC105680897	GO:0016020
48	LOC105680858	GO:0000049
49	LOC105680858	GO:0005737
50	LOC105680858	GO:0051499
51	LOC105680858	GO:0002161
52	LOC105680858	GO:0003723
53	LOC105680858	GO:0016787
54	LOC105680858	GO:0106074
55	LOC105680858	GO:0006399
56	LOC100741146	GO:0016491
57	LOC105681082	GO:0016021
58	LOC105681082	GO:0016020
59	GeneID_112213404	
60	LOC105681195	GO:0005886
61	LOC105681195	GO:0005509
62	LOC105681195	GO:0007156
63	LOC105681195	GO:0016020
64	LOC105681195	GO:0007155
65	LOC117151158	
66	LOC112213272	
67	LOC100745797	GO:0016021
68	LOC100745797	GO:0016020
69	LOC100740524	GO:0016567
70	LOC100740524	GO:0003779
71	LOC100740524	GO:0005515
72	LOC100741942	GO:0003924
73	LOC100741942	GO:0005525
74	LOC100749669	GO:0016021
75	LOC100749669	GO:0005581
76	LOC100749669	GO:0016020
77	LOC100749669	
78	LOC100745155	GO:0005886
79	LOC100745155	GO:0016021
80	LOC100745155	GO:0004984
81	LOC100745155	GO:0005549
82	LOC100745155	GO:0007165
83	LOC100745155	GO:0016020
84	LOC100745155	GO:0007608
85	LOC100745155	GO:0050896
86	LOC100745155	GO:0050911
87	LOC100749729	GO:0016021
88	LOC100749729	GO:0022857
89	LOC100749729	GO:0016020
90	LOC100749729	GO:0055085
91	LOC100741339	GO:0005886
92	LOC100741339	GO:0016021
93	LOC100741339	GO:0046872
94	LOC100741339	GO:0005524
95	LOC100741339	GO:0035556
96	LOC100741339	GO:0006171
97	LOC100741339	GO:0004016
98	LOC100741339	GO:0009190
99	LOC100741339	GO:0016849
100	LOC100741339	GO:0016020
101	LOC100741339	GO:0000166
102	LOC100741339	GO:0050896
103	LOC100741339	GO:0016829
104	LOC100741339	GO:0009975
105	LOC100741219	GO:0008168
106	LOC100741219	GO:0032259
107	LOC100741219	GO:0003676
108	LOC100741219	GO:0016740
109	LOC100741219	GO:0008757
