ensembl_gene_id	go_id
1	LOC116416178	
2	LOC100680315	
3	LOC100114873	GO:0005737
4	LOC100114873	GO:0030163
5	LOC100114873	GO:0005524
6	LOC100114873	GO:0016787
7	LOC100114873	GO:0016887
8	LOC100114873	GO:0036402
9	LOC116415838	
10	LOC100679150	
11	LOC100122124	
12	LOC100121588	GO:0005524
13	LOC100121588	GO:0004672
14	LOC100121588	GO:0006468
15	LOC100114570	GO:0046982
16	LOC100114570	GO:0000786
17	LOC100114570	GO:0003677
18	LOC100114570	GO:0005634
19	LOC100114570	GO:0005694
20	LOC100114570	GO:0030527
21	LOC100122457	
22	LOC116417061	
23	LOC100118906	
24	LOC116416967	
25	LOC116417121	
26	LOC107980822	
27	LOC100123096	GO:0005737
28	LOC100123096	GO:0005634
29	LOC100123096	GO:0003924
30	LOC100123096	GO:0005525
31	LOC116417563	
32	LOC100122285	GO:0016021
33	LOC116417542	
34	LOC100679982	
35	LOC103317699	
36	LOC103318073	
37	GeneID_100118188	GO:0005840
38	GeneID_100118188	GO:0003735
39	GeneID_100118188	GO:0006412
40	LOC100118232	GO:0006629
41	LOC100118232	GO:0030246
42	LOC100118232	GO:0008081
43	LOC100118232	GO:0046475
44	LOC100118232	GO:0047389
45	LOC100118232	GO:2001070
46	LOC100123410	GO:0005634
47	LOC100123410	GO:0003676
48	LOC100123410	GO:0005515
49	LOC100118208	GO:0003747
50	LOC100118208	GO:0006415
51	LOC100118208	
52	LOC100119048	GO:0019439
53	LOC100119048	GO:0033961
54	LOC100119048	GO:0005789
55	LOC100119048	GO:0003824
56	LOC100118248	GO:0005975
57	LOC100118248	GO:0016773
58	GeneID_100463255	
59	LOC100120616	GO:0003723
60	LOC100120616	GO:0003676
61	LOC100114935	
62	LOC107981062	GO:0018990
63	LOC107981062	GO:0007218
64	LOC107981062	GO:0008255
65	LOC103318066	
66	LOC100124053	GO:0004252
67	LOC100124053	GO:0006508
68	LOC100124053	GO:0005515
69	LOC100123606	GO:0016571
70	LOC100123606	GO:0035098
