ensembl_gene_id	go_id
1	LOC105703451	GO:0003723
2	LOC105703451	GO:0003676
3	LOC105699785	GO:0006913
4	LOC105699785	GO:0017056
5	LOC105699785	GO:0005643
6	LOC105700973	GO:0006357
7	LOC105700973	GO:0003712
8	LOC105700973	GO:0016592
9	LOC105702732	GO:0003677
10	LOC105702732	GO:0008270
11	LOC105702732	GO:0003899
12	LOC105702732	GO:0006351
13	LOC105703531	
14	LOC105695646	GO:0003735
15	LOC105695646	GO:0003723
16	LOC105695646	GO:0022625
17	LOC105700048	GO:0005515
18	LOC105698310	
19	LOC105698833	GO:0005515
20	LOC105698833	
21	LOC105696340	GO:0005751
22	LOC105696340	GO:0006123
23	LOC105698011	
24	LOC105701055	GO:0005975
25	LOC105701055	GO:0008061
26	LOC105695798	GO:0003723
27	LOC105695798	GO:0016788
28	LOC105695798	GO:0043022
29	LOC111674142	GO:0003676
30	LOC111674142	GO:0015074
31	LOC105700578	GO:0005524
32	LOC105700578	GO:0000166
33	LOC105700578	GO:0004812
34	LOC105700578	GO:0006418
35	LOC105700578	GO:0004825
36	LOC105700578	GO:0006431
37	LOC105700248	
38	LOC105697459	GO:0005524
39	LOC105697459	GO:0016887
40	LOC105697459	GO:0008568
41	GeneID_111674367	
42	LOC105694951	GO:0016021
43	LOC105694951	GO:0016020
44	LOC105694951	GO:0022857
45	LOC105694951	GO:0055085
46	LOC105694951	GO:0008643
47	LOC105694951	GO:0051119
48	LOC105697491	GO:0005576
49	LOC105697491	GO:0030414
50	LOC105694558	
51	LOC105702106	
52	LOC105698194	GO:0005515
53	LOC105704290	GO:0005515
54	LOC105704290	GO:0031146
55	LOC105704290	GO:0019005
56	LOC105704226	GO:0035091
57	LOC105697333	GO:0016020
58	LOC105697333	GO:0007165
59	LOC105697333	GO:0003924
60	LOC105697333	GO:0005525
61	LOC105694756	GO:0003824
62	LOC105694756	GO:0016615
63	LOC105694756	GO:0006108
64	LOC105694756	GO:0016616
65	LOC105694543	GO:0016020
66	LOC105694543	GO:0022857
67	LOC105694543	GO:0055085
68	LOC105702401	
69	LOC105700224	GO:0007165
70	LOC105700224	GO:0005794
71	LOC111674080	GO:0006508
72	LOC111674080	GO:0004222
73	LOC111674080	GO:0008237
74	LOC105698088	GO:0016021
75	LOC105696928	GO:0006397
76	LOC105699108	GO:0016021
77	LOC105699108	GO:0006506
78	LOC105700872	GO:0016020
79	LOC105700872	GO:0005509
80	LOC105700872	GO:0007156
81	LOC105700872	GO:0019894
82	LOC105700872	GO:0001540
83	LOC105700872	GO:0042988
84	LOC105699535	GO:0032007
85	LOC105699535	GO:0048011
86	LOC105704404	
87	LOC111674207	
88	LOC105698688	
89	LOC105700794	GO:0016020
90	LOC105700794	GO:0022857
91	LOC105700794	GO:0055085
92	LOC105702558	GO:0005524
93	LOC105702558	GO:0016020
94	LOC105702558	GO:0006468
95	LOC105702558	GO:0004675
96	LOC105702558	GO:0007178
97	LOC105702558	GO:0004672
98	LOC105703817	
99	LOC105699270	GO:0005794
100	LOC105699270	GO:0016021
101	LOC105699270	GO:0008146
102	LOC105701060	GO:0003735
103	LOC105701060	GO:0006412
104	LOC105701060	GO:0005840
105	LOC105701060	GO:0019843
106	LOC105695918	
107	LOC105697127	
108	LOC105701006	GO:0003779
109	LOC105701006	
110	LOC105701363	GO:0016020
111	LOC105701363	GO:0006508
112	LOC105701363	GO:0008237
113	LOC105701363	GO:0008241
114	LOC111674024	
115	LOC105701240	GO:0005515
116	LOC105702311	GO:0004407
117	LOC105702311	GO:0016575
118	LOC105702311	GO:0006325
119	LOC105702311	GO:0000118
120	LOC105702172	GO:0016021
121	LOC105702172	GO:0016020
122	LOC105702172	GO:0005509
123	LOC105702172	GO:0007275
124	LOC105702172	GO:0007154
125	LOC105702172	GO:0007219
126	LOC105702823	GO:0005515
127	LOC105702823	GO:0034551
128	LOC105700300	
129	LOC105699524	GO:0006120
130	LOC105702975	GO:0005524
131	LOC105702975	GO:0005975
132	LOC105702975	GO:0006508
133	LOC105702975	GO:0008234
134	LOC105702975	GO:0008974
135	LOC105698708	
136	LOC105699527	GO:0005975
137	LOC105699527	GO:0005516
138	LOC105699527	GO:0005977
139	LOC105702208	
140	LOC105700038	
141	LOC105700273	GO:0006508
142	LOC105700273	GO:0004222
143	LOC105700273	GO:0008237
144	GeneID_111674093	
145	LOC105702562	GO:0003824
146	LOC105696242	GO:0016021
147	LOC105696242	GO:0016020
148	LOC105696242	GO:0022857
149	LOC105696242	GO:0055085
150	LOC105696242	GO:0008643
151	LOC105696242	GO:0051119
152	LOC105701502	GO:0004402
153	LOC105701502	GO:0006384
154	LOC105701502	GO:0000127
155	LOC105703392	
156	LOC105701259	
157	LOC105698718	GO:0003676
158	LOC105695104	GO:0003729
159	LOC105695104	GO:0006376
160	LOC105695104	GO:0005685
161	LOC105699683	GO:0008270
162	LOC105699683	GO:0005515
163	LOC105699683	GO:0005737
164	LOC105699683	GO:0006511
165	LOC105699683	GO:0007275
166	LOC105701497	
167	LOC105695169	GO:0005515
168	LOC105695169	GO:0035091
169	LOC105695169	GO:0042147
170	LOC105694928	
171	LOC105694470	GO:0005515
172	LOC105694470	GO:0005682
173	LOC105698884	GO:0003677
174	LOC105698884	GO:0006355
175	LOC105698884	GO:0000981
176	LOC105696777	GO:0046983
177	LOC111673867	GO:0006508
178	LOC111673867	GO:0004222
179	LOC111673867	GO:0008237
180	LOC105696826	GO:0007017
181	LOC105696826	GO:0030286
182	LOC105694698	
183	LOC105694698	GO:0005524
184	LOC105694698	GO:0006468
185	LOC105694698	GO:0004672
186	LOC105701867	
187	LOC105697172	
188	LOC105702384	GO:0008168
189	LOC105702384	GO:0004164
190	LOC105702384	GO:0017183
191	LOC105701873	
192	LOC105698492	
193	LOC105703657	GO:0004930
194	LOC105703657	GO:0007601
195	LOC105703657	GO:0016021
196	LOC105703657	GO:0016020
197	LOC105703657	GO:0007186
198	LOC105703657	GO:0005118
199	LOC105696205	GO:0003677
200	LOC105696205	GO:0006355
201	LOC105696205	GO:0000981
202	LOC105696205	GO:0021520
203	LOC105704220	
204	LOC105697111	GO:0005506
205	LOC105697111	GO:0016705
206	LOC105697111	GO:0031418
207	LOC111673857	GO:0005524
208	LOC111673857	GO:0005737
209	LOC111673857	GO:0000049
210	LOC111673857	GO:0000166
211	LOC111673857	GO:0004812
212	LOC111673857	GO:0043039
213	LOC111673857	GO:0004826
214	LOC111673857	GO:0006432
215	LOC105696014	GO:0006508
216	LOC105696014	GO:0008234
217	LOC105699869	
218	LOC105697430	
219	LOC105697909	GO:0046872
220	LOC105697909	GO:0004842
221	LOC105695154	GO:0005524
222	LOC105695154	GO:0006468
223	LOC105695154	GO:0004674
224	LOC105695154	GO:0004672
225	LOC105699958	
226	LOC105694805	
227	LOC105694764	
228	LOC105702744	
229	LOC105696397	GO:0016972
230	LOC105696397	GO:0016971
231	LOC105698496	GO:0003824
232	LOC105698496	GO:0051539
233	LOC105698496	GO:0051536
234	LOC105698496	GO:0016740
235	LOC105698496	GO:0006400
236	LOC105698496	GO:0035596
237	LOC111673845	
238	LOC105701583	GO:0046983
239	LOC105700478	GO:0018149
240	LOC105700478	GO:0003810
241	LOC105697394	GO:0006661
242	LOC105697394	GO:0070772
243	LOC105703912	GO:0016021
244	LOC105703912	GO:0016012
245	LOC105699684	
246	LOC105703630	
247	LOC105697834	GO:0016020
248	LOC105703123	
249	LOC105694919	GO:0005639
250	LOC105694919	GO:0034993
251	LOC105698654	
252	LOC105701427	
253	LOC105694865	GO:0004582
254	LOC105695575	GO:0005515
255	LOC105697727	GO:0006886
256	LOC105697727	GO:0016192
257	LOC105697727	GO:0030117
258	LOC105697727	GO:0015031
259	LOC105697727	GO:0035615
260	LOC105697727	GO:0030121
261	LOC105697727	
262	LOC105703628	
263	LOC105702685	
264	LOC111673884	
265	LOC105700654	GO:0005515
266	LOC105698290	
267	LOC105696743	
268	LOC105703780	GO:0000977
269	LOC105703780	GO:0032422
270	LOC105697737	
271	LOC105698260	
272	LOC105701984	GO:0016020
273	LOC105701984	GO:0005267
274	LOC105701984	GO:0071805
275	LOC105698777	GO:0016791
276	LOC105698777	GO:0006470
277	LOC105698777	GO:0008138
278	LOC105698777	GO:0016311
279	LOC105698643	GO:0003677
280	LOC105698643	GO:0005524
281	LOC105698643	GO:0006260
282	LOC105698643	GO:0032508
283	LOC105697542	
284	LOC105698262	GO:0016021
285	LOC105701810	GO:0005576
286	LOC105701810	GO:0008061
287	LOC105703517	GO:0006269
288	LOC105702156	GO:0016746
289	LOC105702156	GO:0016747
290	LOC105700914	
291	LOC105700914	GO:0005515
292	LOC105699189	GO:0008270
293	LOC105699189	GO:0006508
294	LOC105699189	GO:0004181
295	LOC105698034	GO:0005549
296	LOC105699712	GO:0005515
297	LOC105699712	GO:0005543
298	LOC105700803	GO:0003723
299	LOC105700803	GO:0003755
300	LOC105700803	GO:0003676
301	LOC105700803	GO:0000413
302	LOC105697415	GO:0005887
303	LOC105697415	GO:0032217
304	LOC105697415	GO:0032218
305	LOC105698866	
306	LOC105697307	GO:0016491
307	GeneID_111674092	
308	LOC105701769	GO:0005524
309	LOC105701769	GO:0006468
310	LOC105701769	GO:0004672
311	LOC105701769	GO:0035091
312	LOC105701769	GO:0003779
313	LOC105700684	GO:0008270
314	LOC105700684	GO:0003676
315	LOC105698989	
316	LOC105696283	
317	LOC105699699	GO:0003735
318	LOC105699699	GO:0006412
319	LOC105699699	GO:0005840
320	LOC105702059	
321	LOC105694340	GO:0016491
322	LOC105702987	GO:0005634
323	LOC105702987	GO:0005515
324	LOC105702987	GO:0003682
325	LOC105702987	GO:0018024
326	GeneID_111674296	
327	LOC105696450	
328	LOC105697886	GO:0016020
329	LOC105697886	GO:0004984
330	LOC105697886	GO:0005549
331	LOC105697886	GO:0007608
332	LOC105698474	GO:0005779
333	LOC105698474	GO:0016559
334	LOC105697418	GO:0016491
335	LOC105698396	GO:0005524
336	LOC105698396	GO:0003723
337	LOC105698396	GO:0003676
338	LOC105698396	GO:0003724
339	LOC105698396	GO:0006401
340	LOC105702321	GO:0003924
341	LOC105702321	GO:0005525
342	LOC105699873	GO:0003824
343	LOC105699873	GO:0016791
344	LOC105695457	
345	LOC105703965	GO:0005515
346	LOC105703965	GO:0007165
347	LOC105698913	
348	LOC105702689	
349	LOC105696119	GO:0016020
350	LOC105696119	GO:0006811
351	LOC105696119	GO:0038023
352	LOC105696119	GO:0015276
353	LOC105696119	GO:0005216
354	LOC105696119	GO:0004970
355	LOC105696884	GO:0005515
356	LOC105700479	
357	LOC105695595	
358	LOC105701304	GO:0003676
359	LOC105702068	
360	LOC105694389	GO:0003824
361	LOC105694389	GO:0030170
362	LOC105694389	GO:0008483
363	LOC105694389	GO:0003867
364	LOC105694389	GO:0009448
365	LOC105696851	
366	LOC105697801	GO:0006352
367	LOC105697801	GO:0046982
368	LOC105695286	
369	LOC105701667	GO:0016791
370	LOC105696719	
371	LOC105698858	GO:0005524
372	LOC105698858	GO:0016887
373	LOC105698858	
374	LOC105698567	GO:0016020
375	LOC105698567	GO:0005267
376	LOC105698567	GO:0071805
377	LOC105698567	
378	LOC105702159	
379	LOC105695644	GO:0016021
380	LOC105697729	GO:0003677
381	LOC105697729	GO:0006355
382	LOC105697729	GO:0000981
383	LOC105699092	GO:0070573
384	LOC105699092	GO:0016787
385	LOC105700612	GO:0003735
386	LOC105700612	GO:0006412
387	LOC105700612	GO:0005840
388	LOC105700612	GO:0015935
389	LOC105703884	GO:0008270
390	LOC105703884	GO:0006355
391	LOC105703884	GO:0005634
392	LOC105703884	GO:0005515
393	LOC105703884	GO:0004402
394	LOC105703884	GO:0016573
395	LOC105703884	GO:0003712
396	LOC105703884	GO:0003713
397	LOC105703884	GO:0000123
