ensembl_gene_id	go_id
1	GeneID_113004183	
2	LOC105197943	GO:0008270
3	LOC105197943	GO:0016020
4	LOC105197943	GO:0016021
5	GeneID_113003165	
6	LOC120359196	
7	LOC105198650	GO:0016787
8	LOC105198650	GO:0004721
9	LOC105198650	GO:0005515
10	LOC105198650	GO:0006470
11	LOC105198650	
12	LOC105195177	GO:0006355
13	LOC105195177	GO:0016570
14	LOC105195177	GO:0005515
15	LOC105195177	GO:0043231
16	LOC105204159	
17	LOC105196911	GO:0016021
18	LOC105196911	GO:0005829
19	LOC105196911	GO:0042147
20	LOC105196911	GO:0005794
21	LOC105196911	GO:0007275
22	LOC105196911	GO:0016020
23	LOC105196690	
24	LOC105198308	GO:0005515
25	LOC105200111	GO:0016020
26	LOC105200111	GO:0016021
27	LOC105200111	
28	LOC120356935	
29	LOC120358851	
30	LOC105203429	
31	LOC105197956	GO:0016020
32	LOC105197956	GO:0005549
33	LOC105197956	GO:0004984
34	LOC105197956	GO:0007608
35	LOC105197956	GO:0016021
36	LOC105200512	GO:0005576
37	LOC105200512	GO:0008061
38	LOC105206242	
39	LOC105194604	GO:0061578
40	LOC105194604	GO:0008237
41	LOC105194604	GO:0070122
42	LOC105194604	GO:0005515
43	LOC105194604	GO:0140492
44	LOC105194604	GO:0000502
45	LOC105194604	GO:0070536
46	LOC105201748	
47	LOC105195026	
48	LOC105197446	GO:0005525
49	LOC105197446	GO:0003924
50	LOC105203102	
51	LOC105199616	GO:0004596
52	LOC105199616	GO:0017196
53	LOC105199616	GO:0008080
54	LOC105199616	GO:0016740
55	LOC105199616	GO:0016746
56	LOC113003621	GO:0004518
57	GeneID_113004333	
58	LOC105196476	GO:0008270
59	LOC105196476	GO:0016787
60	LOC105196476	GO:0003824
61	LOC105196476	GO:0004132
62	LOC105196476	GO:0006220
63	LOC120358837	
64	LOC105198048	
65	LOC113003539	
66	LOC105193547	
67	LOC105193547	GO:0016021
68	LOC105193547	GO:0015293
69	LOC105193547	GO:0016020
70	LOC105193547	GO:0055085
71	LOC105193770	GO:0016020
72	LOC105193770	GO:0015276
73	LOC105202700	
74	LOC105199346	GO:0016021
75	LOC105199346	GO:0022857
76	LOC105199346	GO:0055085
77	LOC105199346	GO:0016020
78	LOC105196948	GO:0016491
79	LOC105193805	GO:0005739
80	LOC105193805	GO:0016491
81	LOC105193805	GO:0005507
82	LOC105198297	GO:0008324
83	LOC105198297	GO:0006812
84	LOC113006085	GO:0004518
85	LOC120358095	GO:0003676
86	LOC120358095	GO:0015074
87	LOC105197136	
88	LOC105195930	GO:0000055
89	LOC105195930	GO:0042273
90	LOC105195930	GO:0015031
91	LOC105195930	GO:0005634
92	LOC105195930	GO:0042254
93	LOC105195930	GO:0006260
94	LOC105195930	GO:0000808
95	LOC105202008	GO:0004692
96	LOC105202008	GO:0005524
97	LOC105202008	GO:0004672
98	LOC105202008	GO:0004674
99	LOC105202008	GO:0006468
100	LOC105202008	GO:0000166
101	LOC105202008	GO:0016301
102	LOC105202008	GO:0016740
103	LOC105202008	GO:0030553
104	LOC105202008	GO:0016310
105	LOC105202008	GO:0106310
106	LOC105202008	GO:0106311
107	LOC105202008	GO:0004712
108	LOC120359569	
109	LOC120356854	
110	LOC105195167	
111	LOC105201157	
112	LOC105193936	GO:0008237
113	LOC105193936	GO:0008270
114	LOC105193936	GO:0006508
115	LOC120358865	GO:0016705
116	LOC120358865	GO:0005506
117	LOC120358865	GO:0004497
118	LOC120358865	GO:0020037
119	LOC105208016	GO:0008270
120	LOC105208016	GO:0003676
121	LOC105198301	
122	LOC105192797	GO:0016491
123	LOC105202731	GO:0005515
124	LOC105202731	GO:0046872
125	LOC105193331	GO:0005515
126	LOC105196405	GO:0046872
127	LOC105196405	GO:0016787
128	LOC105196405	
129	LOC105201891	GO:0016020
130	LOC105201891	GO:0016021
131	LOC105201891	GO:0110165
132	LOC105201973	GO:0030014
133	LOC105201973	GO:0005634
134	LOC105201973	GO:0005737
135	LOC105201973	GO:0031047
136	LOC105205662	GO:0016705
137	LOC105205662	GO:0005506
138	LOC105205662	GO:0004497
139	LOC105205662	GO:0020037
140	LOC105205662	GO:0016491
141	LOC105205662	GO:0046872
142	LOC105194744	GO:0005509
143	LOC105194744	GO:0005515
144	LOC105196183	
145	LOC105196183	GO:0016758
146	LOC105197876	
147	LOC105193386	GO:0016459
148	LOC105193386	
149	LOC120357625	
150	LOC120357986	
151	LOC105198464	GO:0016020
152	LOC105198464	GO:0005549
153	LOC105198464	GO:0004984
154	LOC105198464	GO:0007608
155	LOC120359746	
156	LOC105200542	GO:0005524
157	LOC105200542	GO:0003676
158	LOC105200542	GO:0004386
159	LOC105200542	GO:0000166
160	LOC105200542	GO:0016787
161	LOC105200542	GO:0003724
162	LOC105200542	GO:0022414
163	LOC105200542	GO:0051276
164	LOC120359475	GO:0016020
165	LOC120359475	GO:0016021
166	LOC105208101	GO:0022857
167	LOC105208101	GO:0055085
168	LOC105208101	GO:0016020
169	LOC105208101	GO:0016021
170	LOC105199112	GO:0016021
171	LOC105199112	GO:0016020
172	LOC105202946	GO:0005975
173	LOC105202946	GO:0004553
174	LOC105202946	GO:0015929
175	LOC113004867	
176	LOC105196697	
177	LOC105207645	GO:0005634
178	LOC105207645	GO:0005737
179	LOC105207645	
180	LOC105200426	GO:0042995
181	LOC105200426	GO:0005856
182	LOC105200426	GO:0005929
183	LOC105200426	GO:0031514
184	LOC105200426	
185	LOC120357539	
186	LOC105192885	GO:0005524
187	LOC105192885	GO:0004672
188	LOC105192885	GO:0006468
189	LOC105196178	GO:0061929
190	LOC105202615	GO:0005525
191	LOC105202615	GO:0003924
192	LOC105202615	GO:0007264
193	LOC113003563	
194	LOC113004873	GO:0016020
195	LOC113004873	GO:0005549
196	LOC113004873	GO:0004984
197	LOC113004873	GO:0007608
198	LOC113004873	GO:0016021
199	LOC113004873	GO:0050911
200	GeneID_113004785	
201	LOC113003396	GO:0016705
202	LOC113003396	GO:0005506
203	LOC113003396	GO:0004497
204	LOC113003396	GO:0020037
205	LOC105202286	GO:0007076
206	LOC105202286	GO:0000796
207	LOC105202286	GO:0007049
208	LOC105202286	GO:0051301
209	LOC105202286	GO:0005737
210	LOC105202286	GO:0005694
211	LOC105202667	GO:0006367
212	LOC105199275	
213	LOC120358246	
214	LOC120358246	GO:0016020
215	LOC120358246	GO:0005549
216	LOC120358246	GO:0004984
217	LOC120358246	GO:0007608
218	LOC120359712	GO:0016020
219	LOC120359712	GO:0005549
220	LOC120359712	GO:0004984
221	LOC120359712	GO:0007608
222	LOC105200228	GO:0020037
223	LOC105200228	GO:0016491
224	LOC105200228	GO:0050660
225	LOC105200228	GO:0050661
226	LOC105200228	GO:0005516
227	LOC105200228	GO:0010181
228	LOC105200228	GO:0004517
229	LOC105200228	GO:0006809
230	LOC105200228	GO:0046872
231	LOC120357423	GO:0003676
232	LOC120357423	GO:0004523
233	LOC105200112	GO:0016021
234	LOC105200112	GO:0007186
