ensembl_gene_id	go_id
1	BIMP17397	
2	BIMP14318	
3	BIMP19284	
4	BIMP23412	
5	BIMP17557	
6	BIMP11205	GO:0016021
7	BIMP11205	GO:0016192
8	BIMP17499	GO:0015074
9	BIMP17499	GO:0003676
10	BIMP23554	GO:0006355
11	BIMP23554	GO:0000981
12	BIMP23554	GO:0003677
13	BIMP13911	GO:0016020
14	BIMP13911	GO:0016192
15	BIMP20193	GO:0006508
16	BIMP20193	GO:0008237
17	BIMP16913	
18	BIMP25366	GO:0016849
19	BIMP25366	GO:0005886
20	BIMP25366	GO:0006171
21	BIMP25366	GO:0004016
22	BIMP25366	GO:0035556
23	BIMP25366	GO:0009190
24	BIMP19888	GO:0008270
25	BIMP19888	GO:0003676
26	BIMP25500	
27	BIMP23818	GO:0006108
28	BIMP23818	GO:0016615
29	BIMP23818	GO:0055114
30	BIMP23818	GO:0005975
31	BIMP23818	GO:0016616
32	BIMP23818	GO:0003824
33	BIMP20691	
34	BIMP21690	
35	BIMP11590	GO:0007186
36	BIMP11590	GO:0004930
37	BIMP11590	GO:0016021
38	BIMP17457	
39	BIMP21546	GO:0007608
40	BIMP21546	GO:0005549
41	BIMP21546	GO:0004984
42	BIMP21546	GO:0016020
43	BIMP20210	GO:0003678
44	BIMP20210	GO:0016787
45	BIMP20210	GO:0005524
46	BIMP20210	GO:0003677
47	BIMP12334	GO:0008270
48	BIMP19938	GO:0005515
49	BIMP19938	GO:0006468
50	BIMP19938	GO:0004672
51	BIMP19938	GO:0005524
52	BIMP16907	
53	BIMP11909	GO:0005783
54	BIMP11909	GO:0016021
55	BIMP24838	GO:0008076
56	BIMP24838	GO:0006813
57	BIMP24838	GO:0005249
58	BIMP24838	GO:0051260
59	BIMP24838	GO:0055085
60	BIMP24838	GO:0006811
61	BIMP24838	GO:0005216
62	BIMP24838	GO:0005515
63	BIMP24838	GO:0016020
64	BIMP25538	GO:0007608
65	BIMP25538	GO:0005549
66	BIMP25538	GO:0004984
67	BIMP25538	GO:0016020
68	BIMP25566	
69	BIMP11902	GO:0008017
70	BIMP12366	
71	BIMP16870	
72	BIMP18000	
73	BIMP12901	
74	BIMP11789	
75	BIMP15993	
76	BIMP16078	GO:0006629
77	BIMP16078	GO:0004806
78	BIMP11307	
79	BIMP19887	GO:0003676
80	BIMP15519	
81	BIMP10560	
82	BIMP13525	GO:0000502
83	BIMP13525	GO:0042176
84	BIMP13525	GO:0030234
85	BIMP14821	GO:0004222
86	BIMP14821	GO:0006508
87	BIMP14821	GO:0008237
88	BIMP21893	GO:0005515
89	BIMP24909	GO:0004197
90	BIMP24909	GO:0008234
91	BIMP24909	GO:0006508
92	BIMP25120	GO:0004386
93	BIMP25120	GO:0005524
94	BIMP25120	GO:0003676
95	BIMP20819	GO:0005515
96	BIMP21789	
97	BIMP12358	
98	BIMP12355	GO:0006355
99	BIMP12355	GO:0000981
100	BIMP12355	GO:0003677
101	BIMP22188	GO:1904668
102	BIMP22188	GO:0097027
103	BIMP22188	GO:0010997
104	BIMP22188	GO:0005515
105	BIMP16752	GO:0006486
106	BIMP16752	GO:0015020
107	BIMP24288	GO:0035299
108	BIMP24288	GO:0005524
109	BIMP23693	GO:0003950
110	BIMP21024	
111	BIMP22715	GO:0004252
112	BIMP22715	GO:0005515
113	BIMP22715	GO:0004930
114	BIMP22715	GO:0006508
115	BIMP22715	GO:0016020
116	BIMP10769	
117	BIMP23979	GO:0005858
118	BIMP23979	GO:0070286
119	BIMP11901	GO:0006355
120	BIMP11901	GO:0003677
121	BIMP12499	
122	BIMP13834	GO:0005779
123	BIMP13834	GO:0016559
124	BIMP11847	GO:0030126
125	BIMP11847	GO:0030117
126	BIMP11847	GO:0006886
127	BIMP11847	GO:0005198
128	BIMP11847	GO:0005515
129	BIMP11847	GO:0016192
130	BIMP11010	
131	BIMP13293	GO:0042803
132	BIMP13293	GO:0009331
133	BIMP13293	GO:0006072
134	BIMP13293	GO:0004367
135	BIMP13293	GO:0046168
136	BIMP13293	GO:0051287
137	BIMP13293	GO:0016491
138	BIMP13293	GO:0055114
139	BIMP13293	GO:0005975
140	BIMP13293	GO:0016616
141	BIMP16349	
142	BIMP20718	GO:0004869
143	BIMP20718	GO:0008234
144	BIMP20718	GO:0006508
145	BIMP16145	GO:0005085
146	BIMP12298	
147	BIMP19485	GO:0008134
148	BIMP19485	GO:0005515
149	BIMP20236	GO:0005515
150	BIMP22339	
151	BIMP19961	
152	BIMP19735	
153	BIMP13599	
154	BIMP12219	GO:0003677
155	BIMP20012	GO:0008121
156	BIMP13260	GO:0006281
157	BIMP13260	GO:0019104
158	BIMP13644	
159	BIMP22444	
160	BIMP13202	GO:0006413
161	BIMP13202	GO:0003743
162	BIMP24541	GO:0005515
163	BIMP24571	
164	BIMP21978	GO:0015942
165	BIMP21978	GO:0008863
166	BIMP21978	GO:0043546
167	BIMP21978	GO:0016491
168	BIMP21978	GO:0055114
169	BIMP18118	
170	BIMP19581	
171	BIMP24914	
172	BIMP25612	
173	BIMP14635	GO:0006313
174	BIMP14635	GO:0003677
175	BIMP14635	GO:0015074
176	BIMP22781	GO:0071786
177	BIMP13793	
178	BIMP22143	
179	BIMP21599	GO:0005515
180	BIMP25217	
181	BIMP17453	
182	BIMP24973	GO:0016020
183	BIMP16642	GO:0015074
184	BIMP16642	GO:0003676
185	BIMP13507	GO:0000175
186	BIMP13507	GO:0003676
187	BIMP23989	GO:0006270
188	BIMP17149	GO:0005515
189	BIMP13158	GO:0005524
190	BIMP24863	
191	BIMP13906	GO:0006457
192	BIMP13906	GO:0000413
193	BIMP13906	GO:0003755
194	BIMP16858	GO:0020037
195	BIMP16858	GO:0016705
196	BIMP16858	GO:0005506
197	BIMP16858	GO:0055114
198	BIMP15194	GO:0045087
199	BIMP15194	GO:0042834
200	BIMP15194	GO:0009253
201	BIMP15194	GO:0008745
202	BIMP15194	GO:0008270
203	BIMP19155	
204	BIMP13386	
205	BIMP19862	
206	BIMP24243	
207	BIMP20611	
208	BIMP19313	GO:0005887
209	BIMP19313	GO:0032217
210	BIMP19313	GO:0032218
211	BIMP12175	GO:0002949
212	BIMP12175	GO:0006139
213	BIMP12175	GO:0016818
214	BIMP12175	GO:0004386
215	BIMP12175	GO:0003678
216	BIMP12175	GO:0005524
217	BIMP12175	GO:0003677
218	BIMP12175	GO:0003676
219	BIMP16987	
220	BIMP23015	
221	BIMP14320	GO:0006120
222	BIMP10444	
223	BIMP11225	
224	BIMP13067	GO:0016226
225	BIMP13067	GO:0051536
226	BIMP13067	GO:0005506
227	BIMP18838	GO:0004252
228	BIMP18838	GO:0006508
229	BIMP20525	
230	BIMP24483	GO:0003677
231	BIMP10755	
232	BIMP21292	
233	BIMP11602	
234	BIMP10605	
235	BIMP18610	
236	BIMP22756	GO:0046872
237	BIMP15295	GO:0005515
238	BIMP20213	GO:0009360
239	BIMP20213	GO:0006260
240	BIMP20213	GO:0003887
241	BIMP20213	GO:0005524
242	BIMP20213	GO:0003677
243	BIMP13257	GO:0006355
244	BIMP13257	GO:0000981
245	BIMP13257	GO:0003677
246	BIMP25237	
247	BIMP18050	GO:0016592
248	BIMP18050	GO:0006357
249	BIMP18050	GO:0003712
250	BIMP13098	
251	BIMP25698	
252	BIMP20976	GO:0016857
253	BIMP20976	GO:0006098
254	BIMP20976	GO:0004750
255	BIMP20976	GO:0005975
256	BIMP20976	GO:0003824
257	BIMP23193	GO:0008033
258	BIMP23193	GO:0050660
259	BIMP23193	GO:0017150
260	BIMP23193	GO:0055114
261	BIMP23193	GO:0003824
