ensembl_gene_id	go_id
1	WBGene00000001	GO:0016301
2	WBGene00000001	GO:0016310
3	WBGene00000001	GO:0046854
4	WBGene00000001	GO:0005942
5	WBGene00000001	GO:0008286
6	WBGene00000001	GO:0043551
7	WBGene00000001	GO:0046935
8	WBGene00000001	GO:0019901
9	WBGene00000001	GO:0008340
10	WBGene00000001	GO:0040024
11	WBGene00000002	GO:0016020
12	WBGene00000002	GO:0016021
13	WBGene00000002	GO:0022857
14	WBGene00000002	GO:0055085
15	WBGene00000002	GO:1902475
16	WBGene00000002	GO:0005886
17	WBGene00000002	GO:0015179
18	WBGene00000002	GO:0003333
19	WBGene00000002	GO:1990184
20	WBGene00000002	GO:0015807
21	WBGene00000003	GO:0016020
22	WBGene00000003	GO:0016021
23	WBGene00000003	GO:0022857
24	WBGene00000003	GO:0055085
25	WBGene00000003	GO:0015179
26	WBGene00000003	GO:1902475
27	WBGene00000003	GO:0015807
28	WBGene00000004	GO:0016020
29	WBGene00000004	GO:0016021
30	WBGene00000004	GO:0022857
31	WBGene00000004	GO:0055085
32	WBGene00000004	GO:1902475
33	WBGene00000004	GO:0005886
34	WBGene00000004	GO:0015179
35	WBGene00000004	GO:0003333
36	WBGene00000004	GO:1990184
37	WBGene00000004	GO:0015807
38	WBGene00000005	GO:0016020
39	WBGene00000005	GO:0016021
40	WBGene00000005	GO:0022857
41	WBGene00000005	GO:0055085
42	WBGene00000005	GO:0015179
43	WBGene00000005	GO:1902475
44	WBGene00000005	GO:0015807
45	WBGene00000005	
46	WBGene00000006	GO:0016020
47	WBGene00000006	GO:0016021
48	WBGene00000006	GO:0022857
49	WBGene00000006	GO:0055085
50	WBGene00000006	GO:0015179
51	WBGene00000006	GO:1902475
52	WBGene00000006	GO:0015807
53	WBGene00000006	
54	WBGene00000007	GO:0016020
55	WBGene00000007	GO:0016021
56	WBGene00000007	GO:0005886
57	WBGene00000007	GO:0022857
58	WBGene00000007	GO:0055085
59	WBGene00000007	GO:0005515
60	WBGene00000007	GO:0016324
61	WBGene00000007	GO:0015179
62	WBGene00000007	GO:1902475
63	WBGene00000007	GO:0006865
64	WBGene00000007	GO:0030165
65	WBGene00000007	GO:0015807
